ConcertID,Artist,Concert Date,Concert,Venue,Location
642,Ed Sheeran,6/7/2014,Pinkpop,Pinkpop,"Landgraaf, Netherlands"
643,Ed Sheeran,6/7/2014,Pinkpop 2014,Pinkpop Festival,"Landgraaf, Netherlands"
1700,Ben Howard,6/14/2013,Pinkpop 2013,Megaland,"Landgraaf, Netherlands"
1701,Ben Howard,6/14/2013,Pinkpop Festival 2013,Pinkpop,"Landgraaf, Netherlands"
1899,Ben Howard,5/26/2012,Pinkpop 2012,Pinkpop,"Landgraaf, Netherlands"
635,Ed Sheeran,6/7/2014,Pinkpop Festival 2014,Pinkpop Festival,"Landgraaf, NL"
1704,Ben Howard,6/14/2013,Pinkpop,Evenemententerrein Megaland,"Landgraaf, NL"
1705,Ben Howard,6/14/2013,Pinkpop 2013,Evenemententerrein Megaland,"Landgraaf, NL"
645,Ed Sheeran,6/7/2014,Pinkpop 2014,Megaland,"Landgraaf, The Netherlands"
646,Ed Sheeran,6/7/2014,Pinkpop 2014,Megaland,"Landgraaf, The Netherlands"
647,Ed Sheeran,6/7/2014,Pinkpop 2014,Megaland,"Landgraaf, The Netherlands"
1698,Ben Howard,6/16/2013,Pinkpop Festival,Landgraaf,"Landgraaf, The Netherlands"
1703,Ben Howard,6/14/2013,Pinkpop 2013,Megaland,"Landgraaf, The Netherlands"
1707,Ben Howard,6/13/2013,Ben Howard,Pinkpop Festival,"Landgraaf, The Netherlands"
304,Ed Sheeran,5/16/2015,Billboard Music Awards,MGM Grand Garden Arena,"Las Vegas, Nv"
305,Ed Sheeran,5/16/2015,Rock in Rio USA,Las Vegas Festival Grounds,"Las Vegas, NV"
306,Ed Sheeran,5/15/2015,Rock In Rio USA,City of Rock MGM Resorts Festival Grounds,"Las Vegas, NV"
307,Ed Sheeran,5/15/2015,Rock in Rio USA 2015,City of Rock MGM Resorts Festival Grounds,"Las Vegas, NV"
308,Ed Sheeran,5/15/2015,Rock in Rio USA 2015,City of Rock MGM Resorts Festival Grounds,"Las Vegas, NV"
309,Ed Sheeran,5/15/2015,Rock in Rio,Las Vegas Festival Grounds,"Las Vegas, Nv"
387,Ed Sheeran,9/20/2014,iHeartRadio Music Festival,MGM Grand Garden Arena,"Las Vegas, NV"
1188,Ed Sheeran,9/29/2012,Bite of Las Vegas,Desert Breeze Park,"Las Vegas, NV"
378,Ed Sheeran,10/11/2014,Ed Sheeran,First Direct Arena,Leeds
1319,Ed Sheeran,8/26/2011,Leeds Festival 2011,Unknown venue,"Leeds,"
1320,Ed Sheeran,8/26/2011,Leeds Festival 2011,Unknown venue,"Leeds,"
1324,Ed Sheeran,8/26/2011,Leeds Festival 2011,Unknown venue,"Leeds,"
1325,Ed Sheeran,8/26/2011,Leeds Festival 2011,Unknown venue,"Leeds,"
379,Ed Sheeran,10/11/2014,Ed Sheeran,First Direct Arena,"Leeds, England"
1295,Ed Sheeran,8/26/2011,Leeds Festival 2011,Bramham Park,"Leeds, United Kingdom"
1318,Ed Sheeran,8/26/2011,Leeds Festival 2011,Bramham Park,"Leeds, United Kingdom"
38,Ben Howard,7/5/2018,Rock Werchter 2018,Werchter Festivalpark,"Leuven, Belgium"
1540,Ben Howard,7/10/2014,Optimus Alive 14,Passeio Mar°timo de AlgÇs,Lisboa
50,Ben Howard,5/27/2018,Ben Howard,Coliseu de Lisboa,"Lisboa, Portugal"
651,Ed Sheeran,5/31/2014,Rock In Rio Lisboa,Parque Da Bela Vista,"Lisboa, Portugal"
650,Ed Sheeran,5/31/2014,Rock in Rio Lisboa 2014,Parque Da Bela Vista,Lisbon
1542,Ben Howard,7/10/2014,Optimus Alive 2014,Passeio Maritimo de Alges,"Lisbon, Portugal"
1330,Ed Sheeran,5/19/2011,Liverpool Sound City Festival 2011,Unknown venue,"Liverpool,"
258,Ed Sheeran,6/5/2015,X,Budwesier Gardens,"London, ON"
2,Ben Howard,1/18/2019,Ben Howard / Ex:Re,O2 Academy Brixton,"London, UK"
47,Ben Howard,6/13/2018,Ben Howard: 'Noonday Dream' Tour,Hammersmith Apollo,"London, UK"
104,Ed Sheeran,7/12/2015,Ed Sheeran / Passenger / OneRepublic,Wembley Stadium,"London, UK"
105,Ed Sheeran,7/12/2015,Ed Sheeran,"Wembley Stadium, Wembley","London, UK"
106,Ed Sheeran,7/12/2015,X,"Wembley Stadium, Wembley","London, UK"
107,Ed Sheeran,7/11/2015,Ed Sheeran / Rudimental / Example,Wembley Stadium,"London, UK"
109,Ed Sheeran,7/10/2015,Ed Sheeran / Foy Vance / OneRepublic,Wembley Stadium,"London, UK"
579,Ed Sheeran,6/21/2014,Capital FM Summertime Ball 2014,"Wembley Stadium, Wembley","London, UK"
580,Ed Sheeran,6/21/2014,Summertime Ball,"Wembley Stadium, Wembley","London, UK"
581,Ed Sheeran,6/21/2014,Capital FM Summertime Ball 2014,"Wembley Stadium, Wembley","London, UK"
659,Ed Sheeran,5/5/2014,Ed Sheeran,KOKO,"London, UK"
714,Ed Sheeran,9/29/2013,Unity Concert,The O2 Arena,"London, UK"
811,Ed Sheeran,6/9/2013,Capital Summertime Ball,"Wembley Stadium, Wembley","London, UK"
812,Ed Sheeran,6/9/2013,Summertime Ball,"Wembley Stadium, Wembley","London, UK"
866,Ben Howard,7/19/2015,Citadel Festival 2015,Victoria Park,"London, UK"
1155,Ed Sheeran,10/17/2012,+,Hammersmith Apollo,"London, UK"
1156,Ed Sheeran,10/17/2012,Ed Sheeran / Passenger,Eventim Apollo,"London, UK"
1258,Ed Sheeran,6/23/2012,BBC Radio 1's Hackney Weekend 2012,Hackney Marshes,"London, UK"
1259,Ed Sheeran,6/23/2012,Radio 1's Hackney Weekend 2012,Hackney Marshes,"London, UK"
1267,Ed Sheeran,6/9/2012,Capital FM Summertime Ball 2012,Wembley Stadium,"London, UK"
1268,Ed Sheeran,6/9/2012,Summertime Ball,"Wembley Stadium, Wembley","London, UK"
1270,Ed Sheeran,6/9/2012,Coldplay / Usher / Justin Bieber / The Wanted / Jessie J / Example / Katy Perry / Ed Sheeran / Kelly Clarkson / Flo Rida / Pitbull,Wembley Stadium,"London, UK"
1272,Ed Sheeran,6/6/2012,Summer Time Ball,"Wembley Stadium, Wembley","London, UK"
1273,Ed Sheeran,6/4/2012,The Queen's Diamond Jubilee 2012,Unknown venue,"London, UK"
1291,Ed Sheeran,2/19/2012,War Child,Shepherd's Bush Empire,"London, UK"
1292,Ed Sheeran,12/4/2011,Jingle Bell Ball,The O2 Arena,"London, UK"
1294,Ed Sheeran,10/9/2011,Radio 1's Teen Awards 2011,Unknown venue,"London, UK"
1331,Ed Sheeran,5/1/2010,Camden Crawl 2010,"Various Venues, Camden Town","London, UK"
1463,Ed Sheeran,6/16/2018,Ed Sheeran,Wembley Stadium,"London, UK"
1464,Ed Sheeran,6/16/2018,Ed Sheeran,Wembley Stadium,"London, UK"
1466,Ed Sheeran,6/15/2018,Divide,Wembley Stadium,"London, UK"
1467,Ed Sheeran,6/14/2018,Ed Sheeran / Jamie Lawson,Wembley Stadium,"London, UK"
1618,Ed Sheeran,12/10/2017,Jingle Bell Ball 2017,The O2 Arena,"London, UK"
1619,Ed Sheeran,12/10/2017,Capital FM Jingle Bell Ball,"The O2 Arena, Greenwich","London, UK"
1680,Ben Howard,7/6/2013,Mumford & Sons / Vampire Weekend / Ben Howard / Edward Sharpe & The Magnetic Zeros / HAIM / Bear's Den,Queen Elizabeth Olympic Park,"London, UK"
1717,Ben Howard,2/20/2013,Muse / Robbie Williams / Justin Timberlake / Taylor Swift / One Direction / Ben Howard / Mumford & Sons / Emeli SandÇ,The 02 Arena,"London, UK"
1821,Ben Howard,11/30/2012,Ben Howard,Brixton Academy,"London, UK"
1857,Ben Howard,6/23/2012,Radio 1's Hackney Weekend 2012,Hackney Marshes,"London, UK"
1858,Ben Howard,6/23/2012,BBC Radio 1's Hackney Weekend 2012,Hackney Marshes,"London, UK"
1903,Ben Howard,12/14/2011,Kaiser Chiefs / The Maccabees / The Horrors / Band of Skulls / Tribes / Augustines / Ben Howard,O2 Academy Brixton,"London, UK"
1904,Ben Howard,12/14/2011,Kaiser Chiefs / The Maccabees / The Horrors / Band of Skulls / Tribes / Augustines / Ben Howard,O2 Academy Brixton,"London, UK"
2108,Ed Sheeran,5/1/2017,Ed Sheeran,The O2 Arena,"London, UK"
2109,Ed Sheeran,5/1/2017,Ed Sheeran,The O2 Arena,"London, UK"
13,Ben Howard,9/27/2018,Ben Howard / Wye Oak,Shrine Auditorium,"Los Angeles, CA"
222,Ed Sheeran,6/25/2015,X,Hollywood Bowl,"Los Angeles, CA"
223,Ed Sheeran,6/25/2015,Ed Sheeran / Rixton,Hollywood Bowl,"Los Angeles, CA"
224,Ed Sheeran,6/24/2015,Ed Sheeran,Hollywood Bowl,"Los Angeles, CA"
225,Ed Sheeran,6/24/2015,Ed Sheeran / Rixton,Hollywood Bowl,"Los Angeles, CA"
226,Ed Sheeran,6/24/2015,Ed Sheeran / Rixton,Hollywood Bowl,"Los Angeles, CA"
229,Ed Sheeran,6/24/2015,Ed Sheeran,Hollywood Bowl,"Los Angeles, CA"
230,Ed Sheeran,6/24/2015,Ed Sheeran / Rixton,Hollywood Bowl,"Los Angeles, CA"
231,Ed Sheeran,6/24/2015,Ed Sheeran / Rixton,Hollywood Bowl,"Los Angeles, CA"
235,Ed Sheeran,6/23/2015,Ed Sheeran,Hollywood Bowl,"Los Angeles, CA"
459,Ed Sheeran,12/5/2014,LA KIIS FM Jingle Ball,Staples Center,"Los Angeles, CA"
460,Ed Sheeran,12/5/2014,KIIS-FM Jingle Ball,Staples Center,"Los Angeles, CA"
513,Ed Sheeran,8/28/2014,Ed Sheeran,Jimmy Kimmel Live!,"Los Angeles, CA"
515,Ed Sheeran,8/27/2014,The Multiply Tour,Staples Center,"Los Angeles, CA"
516,Ed Sheeran,8/27/2014,Ed Sheeran,Staples Center,"Los Angeles, CA"
517,Ed Sheeran,8/27/2014,Ed Sheeran,Staples Center,"Los Angeles, CA"
518,Ed Sheeran,8/27/2014,x Tour,Staples Center,"Los Angeles, CA"
519,Ed Sheeran,8/27/2014,Ed Sheeran,Staples Center,"Los Angeles, CA"
520,Ed Sheeran,8/27/2014,Ed Sheeran / Rudimental,Staples Center,"Los Angeles, CA"
521,Ed Sheeran,8/27/2014,Ed Sheeran,Staples Center,"Los Angeles, CA"
522,Ed Sheeran,8/27/2014,Ed Sheeran,Staples Center,"Los Angeles, CA"
523,Ed Sheeran,8/27/2014,Ed Sheeran,Staples Center,"Los Angeles, CA"
585,Ed Sheeran,6/17/2014,Ed Sheeran Album Release Party,iHeartRadio Theater,"Los Angeles, CA"
586,Ed Sheeran,6/16/2014,Demi Lovato / Colbie Caillat / Ed Sheeran / Andy Grammer,Hollywood Bowl,"Los Angeles, CA"
588,Ed Sheeran,6/16/2014,Demi Lovato / Colbie Caillat / Ed Sheeran / Andy Grammer,Hollywood Bowl,"Los Angeles, CA"
589,Ed Sheeran,6/16/2014,Demi Lovato / Colbie Caillat / Ed Sheeran / Andy Grammer,Hollywood Bowl,"Los Angeles, CA"
731,Ed Sheeran,8/24/2013,Taylor Swift / Ed Sheeran,Staples Center,"Los Angeles, CA"
732,Ed Sheeran,8/23/2013,Red Tour,Staples Center,"Los Angeles, CA"
733,Ed Sheeran,8/23/2013,Taylor Swift / Ed Sheeran,Staples Center,"Los Angeles, CA"
734,Ed Sheeran,8/20/2013,The Red Tour,The Staples Center,"Los Angeles, CA"
835,Ben Howard,10/7/2015,Ben Howard / Daughter,The Greek Theatre,"Los Angeles, CA"
1064,Ed Sheeran,2/17/2013,Birthday Show,Nokia Theatre Live,"Los Angeles, CA"
1065,Ed Sheeran,2/17/2013,Ed Sheeran / Rizzle Kicks / Foy Vance,Microsoft Theater,"Los Angeles, CA"
1066,Ed Sheeran,2/17/2013,Ed Sheeran / Rizzle Kicks / Foy Vance,Microsoft Theater,"Los Angeles, CA"
1069,Ed Sheeran,2/10/2013,Ed Sheeran / Foy Vance / Rizzle Kicks,Hollywood Palladium,"Los Angeles, CA"
1070,Ed Sheeran,2/9/2013,Ed Sheeran / Rizzle Kicks / Foy Vance,Hollywood Palladium,"Los Angeles, CA"
1181,Ed Sheeran,10/3/2012,,The Wiltern,"Los Angeles, CA"
1183,Ed Sheeran,10/1/2012,Vh1 You Oughta Know,The Wiltern,"Los Angeles, CA"
1184,Ed Sheeran,10/1/2012,Ed Sheeran / Passenger / Selah Sue,The Wiltern,"Los Angeles, CA"
1403,Ben Howard,2/10/2015,Ben Howard / Willy Mason,Shrine Expo Hall,"Los Angeles, CA"
1404,Ben Howard,2/10/2015,Willy Mason / Ben Howard,The Shrine Auditorium,"Los Angeles, CA"
1628,Ed Sheeran,12/1/2017,Jingle Ball,The Forum,"Los Angeles, CA"
1786,Ed Sheeran,8/27/2017,2017 MYV Video Music Awards,The Forum,"Los Angeles, CA"
1792,Ed Sheeran,8/12/2017,Ed Sheeran,The GRAMMY Museum,"Los Angeles, CA"
1895,Ben Howard,6/6/2012,Ben Howard / Bahamas,Troubadour,"Los Angeles, CA"
1937,Ed Sheeran,8/12/2017,Ed Sheeran / James Blunt,Staples Center,"Los Angeles, CA"
1938,Ed Sheeran,8/12/2017,Ed Sheeran,The GRAMMY Museum,"Los Angeles, CA"
1939,Ed Sheeran,8/11/2017,Ed Sheeran,Staples Center,"Los Angeles, CA"
1940,Ed Sheeran,8/10/2017,Divide Tour,Staples Center,"Los Angeles, CA"
1941,Ed Sheeran,8/10/2017,Ed Sheeran / James Blunt,Staples Center,"Los Angeles, CA"
1942,Ed Sheeran,8/10/2017,Ed Sheeran / James Blunt,Staples Center,"Los Angeles, CA"
1943,Ed Sheeran,8/10/2017,Ed Sheeran,Staples Center,"Los Angeles, CA"
2054,Ed Sheeran,11/18/2015,Shining A Light,Shrine Auditorium,"Los Angeles, CA"
2055,Ed Sheeran,11/18/2015,Shining A Light: A Concert For Progress on Race In America,Shrine Auditorium,"Los Angeles, CA"
919,Ed Sheeran,5/7/2013,The Red Tour,KFC Yum! Center,"Louisville, KY"
1078,Ed Sheeran,2/1/2013,Ed Sheeran / Foy Vance / Rizzle Kicks,Louisville Palace,"Louisville, KY"
1775,Ed Sheeran,9/7/2017,Divide World Tour,KFC Yum! Center,"Louisville, KY"
1776,Ed Sheeran,9/7/2017,Ed Sheeran / James Blunt,KFC Yum! Center,"Louisville, KY"
22,Ben Howard,7/12/2018,Mad Cool Festival 2018,Valdebebas - IFEMA,"Madrid,"
25,Ben Howard,7/12/2018,Mad Cool 2018,Valdebebas - IFEMA,"Madrid, ES"
24,Ben Howard,7/12/2018,Mad Cool Festival 2018,Valdebebas - IFEMA,"Madrid, Spain"
370,Ed Sheeran,10/27/2014,Ed Sheeran,Manchester Phones 4U Arena,Manchester UK
2112,Ed Sheeran,4/22/2017,Ed Sheeran / Anne Marie,Manchester Arena,Manchester UK
1415,Ben Howard,12/3/2014,Ben Howard / Hiss Golden Messenger,O2 Apollo Manchester,"Manchester,"
1471,Ed Sheeran,5/27/2018,Ed Sheeran / Anne-Marie / Jamie Lawson,Etihad Stadium,"Manchester,"
1472,Ed Sheeran,5/25/2018,Ed Sheeran,Etihad Stadium,"Manchester, England"
1473,Ed Sheeran,5/25/2018,Divide Tour,Etihad Stadium,"Manchester, England"
2111,Ed Sheeran,4/22/2017,Ed Sheeran,Manchester Arena,"Manchester, England"
1544,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1545,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1546,Ben Howard,6/12/2014,Bonnaroo Music & Arts Festival 2014,Great Stage Park,"Manchester, TN"
1547,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1548,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1549,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1550,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1551,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1552,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1553,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1554,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1555,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1556,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1557,Ben Howard,6/12/2014,Bonnaroo 2014,The Farm,"Manchester, TN"
1558,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1559,Ben Howard,6/12/2014,Bonnaroo Music & Arts Festival 2014,Great Stage Park,"Manchester, TN"
1560,Ben Howard,6/12/2014,Bonnaroo Music & Arts Festival 2014,Great Stage Park,"Manchester, TN"
1561,Ben Howard,6/12/2014,Bonnaroo 2014,Great Stage Park,"Manchester, TN"
1562,Ben Howard,6/12/2014,Bonnaroo Music and Arts Festival 2014,Great Stage Park,"Manchester, TN"
1563,Ben Howard,6/12/2014,Bonnaroo Music Festival 2014,Great Stage Park,"Manchester, TN"
1859,Ben Howard,6/10/2012,Bonnaroo Music Festival 2012,Great Stage Park,"Manchester, TN"
1860,Ben Howard,6/10/2012,Bonnaroo Music & Arts Festival 2012,Great Stage Park,"Manchester, TN"
1861,Ben Howard,6/10/2012,Bonnaroo Music & Arts Festival 2012,Great Stage Park,"Manchester, TN"
1884,Ben Howard,6/10/2012,Bonnaroo Music Festival 2012,Great Stage Park,"Manchester, TN"
1885,Ben Howard,6/10/2012,Bonnaroo Music Festival 2012,Great Stage Park,"Manchester, TN"
1886,Ben Howard,6/10/2012,Bonnaroo Music Festival 2012,Great Stage Park,"Manchester, TN"
1887,Ben Howard,6/10/2012,Bonnaroo Music Festival 2012,Great Stage Park,"Manchester, TN"
1888,Ben Howard,6/10/2012,Bonnaroo Music Festival 2012,Great Stage Park,"Manchester, TN"
1889,Ben Howard,6/10/2012,Bonnaroo Music Festival 2012,Great Stage Park,"Manchester, TN"
1890,Ben Howard,6/10/2012,Bonnaroo Music Festival 2012,Great Stage Park,"Manchester, TN"
1891,Ben Howard,6/10/2012,Bonnaroo Music Festival 2012,Great Stage Park,"Manchester, TN"
1892,Ben Howard,6/10/2012,Bonnaroo Music Festival 2012,Great Stage Park,"Manchester, TN"
1893,Ben Howard,6/10/2012,Bonnaroo Music Festival 2012,Great Stage Park,"Manchester, TN"
1894,Ben Howard,6/8/2012,Bonnaroo,The Farm,"Manchester, TN"
3,Ben Howard,12/10/2018,Ben Howard,O2 Apollo Manchester,"Manchester, UK"
371,Ed Sheeran,10/27/2014,Ed Sheeran / Jamie Lawson,Manchester Arena,"Manchester, UK"
1154,Ed Sheeran,11/3/2012,Ed Sheeran / Passenger / Foy Vance,O2 Apollo,"Manchester, UK"
665,Ed Sheeran,11/7/2013,Ed Sheeran,Madison Square Garden,"Manhattan, NY"
674,Ed Sheeran,11/1/2013,Ed Sheeran,Madison Square Garden,"Manhattan, NY"
698,Ed Sheeran,11/1/2013,Ed Sheeran,Madison Square Garden,"Manhattan, NY"
495,Ed Sheeran,9/9/2014,X Tour,Xfinity Center,"Mansfield, MA"
496,Ed Sheeran,9/9/2014,Ed Sheeran,Xfinity Center,"Mansfield, MA"
425,Ed Sheeran,3/30/2015,Ed Sheeran,Rod Laver Arena,Melbourne
426,Ed Sheeran,3/30/2015,Ed Sheeran / Jamie Lawson / Conrad Sewell,Rod Laver Arena,Melbourne
428,Ed Sheeran,3/30/2015,x World Tour,Rod Laver Arena,Melbourne
429,Ed Sheeran,3/29/2015,X,Rod Laver Arena,Melbourne
430,Ed Sheeran,3/29/2015,Ed Sheeran / Jamie Lawson / Conrad Sewell,Rod Laver Arena,Melbourne
432,Ed Sheeran,3/28/2015,Ed Sheeran / Jamie Lawson / Conrad Sewell,Rod Laver Arena,Melbourne
1055,Ed Sheeran,3/4/2013,Ed Sheeran / Side View / Rear View,Festival Hall,Melbourne
1389,Ben Howard,6/1/2015,Ben Howard,Margaret Court Arena/outside Courts,Melbourne
1501,Ed Sheeran,3/12/2018,Ed Sheeran / Missy Higgins / Bliss N Eso,Etihad Stadium,Melbourne
1504,Ed Sheeran,3/11/2018,Ed Sheeran / Missy Higgins / Bliss N Eso,Etihad Stadium,Melbourne
1507,Ed Sheeran,3/10/2018,Ed Sheeran / Missy Higgins / Bliss N Eso,Etihad Stadium,Melbourne
1610,Ed Sheeran,3/9/2018,Ed Sheeran / Missy Higgins / Bliss N Eso,Etihad Stadium,Melbourne
2031,Ed Sheeran,12/6/2015,Ed Sheeran / Rudimental / Passenger / Foy Vance,AAMI Park,Melbourne
2033,Ed Sheeran,12/6/2015,Ed Sheeran / Rudimental / Foy Vance / Passenger,AAMI Park,Melbourne
2035,Ed Sheeran,12/6/2015,Ed Sheeran / Rudimental,AAMI Park,Melbourne
2037,Ed Sheeran,12/5/2015,Ed Sheeran / Rudimental / Passenger / Foy Vance,AAMI Park,Melbourne
2038,Ed Sheeran,12/5/2015,X,AAMI Park,Melbourne
2039,Ed Sheeran,12/5/2015,x World Tour,AAMI Park,Melbourne
2041,Ed Sheeran,12/5/2015,Ed Sheeran / Rudimental / Foy Vance,AAMI Park,Melbourne
2034,Ed Sheeran,12/6/2015,X,AAMI Park,"Melbourne, AU"
435,Ed Sheeran,3/28/2015,Ed Sheeran Multiply World Tour,Rod Laver Arena,"Melbourne, Australia"
1502,Ed Sheeran,3/11/2018,Ed Sheeran,Etihad stadium,"Melbourne, Australia"
1503,Ed Sheeran,3/11/2018,Ed Sheeran 2,Edihad stadium,"Melbourne, Australia"
1508,Ed Sheeran,3/10/2018,Divide,Etihad stadium,"Melbourne, Australia"
1603,Ed Sheeran,3/10/2018,ˆ,Etihad stadium,"Melbourne, Australia"
424,Ed Sheeran,3/30/2015,Ed Sheeran,Rod Laver Arena,"Melbourne, VIC"
431,Ed Sheeran,3/29/2015,Ed Sheeran,Rod Laver Arena,"Melbourne, VIC"
433,Ed Sheeran,3/28/2015,Ed Sheeran,Rod Laver Arena,"Melbourne, VIC"
434,Ed Sheeran,3/28/2015,Ed Sheeran,Rod Laver Arena,"Melbourne, VIC"
437,Ed Sheeran,3/28/2015,Ed Sheeran,Rod Laver Arena,"Melbourne, VIC"
1051,Ed Sheeran,3/6/2013,Ed Sheeran / Side View / Rear View,Festival Hall,"Melbourne, VIC"
1054,Ed Sheeran,3/5/2013,Ed Sheeran / Side View / Ed Sheeeran / Rear View,Festival Hall,"Melbourne, VIC"
1390,Ben Howard,6/1/2015,Ben Howard,Margaret Court Arena/outside Courts,"Melbourne, VIC"
1505,Ed Sheeran,3/11/2018,ˆ,Etihad Stadium,"Melbourne, VIC"
1506,Ed Sheeran,3/10/2018,Ed Sheeran / Missy Higgins,Etihad Stadium,"Melbourne, VIC"
1509,Ed Sheeran,3/10/2018,Ed Sheeran / Missy Higgins,Etihad Stadium,"Melbourne, VIC"
1510,Ed Sheeran,3/10/2018,Ed Sheeran / Missy Higgins,Etihad Stadium,"Melbourne, VIC"
1602,Ed Sheeran,3/10/2018,Ed Sheeran / Missy Higgins,Etihad Stadium,"Melbourne, VIC"
1605,Ed Sheeran,3/10/2018,Ed Sheeran / Missy Higgins,Etihad Stadium,"Melbourne, VIC"
1606,Ed Sheeran,3/10/2018,Ed Sheeran / Missy Higgins,Etihad Stadium,"Melbourne, VIC"
1607,Ed Sheeran,3/10/2018,Ed Sheeran / Missy Higgins,Etihad Stadium,"Melbourne, VIC"
1608,Ed Sheeran,3/10/2018,ˆ World Tour,Etihad Stadium,"Melbourne, VIC"
1609,Ed Sheeran,3/9/2018,Ed Sheeran / Missy Higgins,Etihad Stadium,"Melbourne, VIC"
1611,Ed Sheeran,3/9/2018,Ed Sheeran / Missy Higgins,Etihad Stadium,"Melbourne, VIC"
1612,Ed Sheeran,3/9/2018,Ed Sheeran / Missy Higgins,Etihad Stadium,"Melbourne, VIC"
2036,Ed Sheeran,12/5/2015,Ed Sheeran,AAMI Park,"Melbourne, VIC"
2040,Ed Sheeran,12/5/2015,Ed Sheeran,AAMI Park,"Melbourne, VIC"
2043,Ed Sheeran,12/5/2015,Ed Sheeran,AAMI Park,"Melbourne, VIC"
2044,Ed Sheeran,12/5/2015,Ed Sheeran,AAMI Park,"Melbourne, VIC"
2045,Ed Sheeran,12/5/2015,Ed Sheeran / Rudimental / Passenger / Foy Vance,AAMI Park,"Melbourne, VIC"
427,Ed Sheeran,3/30/2015,X Tour,Rod Laver Arena,"Melbourne, VIC, Australia"
436,Ed Sheeran,3/28/2015,Ed Sheeran Multiply Tour,Rod Laver Arena,"Melbourne, VIC, Australia"
1050,Ed Sheeran,3/6/2013,Ed Sheeran Plus Tour,Festival Hall,"Melbourne, VIC, Australia"
1053,Ed Sheeran,3/5/2013,+,Festival Hall,"Melbourne, VIC, Australia"
2032,Ed Sheeran,12/6/2015,Ed Sheeran,AAMI Park,"Melbourne, VIC, Australia"
2042,Ed Sheeran,12/5/2015,Ed Sheeran / Foy Vance / Passenger / Rudimental,AAMI Park,"Melbourne, VIC, Australia"
2047,Ed Sheeran,12/5/2015,Ed Sheeran Australia Tour,AAMI Park,"Melbourne, VIC, Australia"
321,Ed Sheeran,5/3/2015,Beale Street Music Fest,Tom Lee Park,"Memphis, TN"
322,Ed Sheeran,5/1/2015,Beale Street Music Festival 2015,Tom Lee Park,"Memphis, TN"
323,Ed Sheeran,5/1/2015,Beale Street Music Festival 2015,Tom Lee Park,"Memphis, TN"
324,Ed Sheeran,5/1/2015,Beale Street Music Festival,Tom Lee Park,"Memphis, TN"
325,Ed Sheeran,5/1/2015,Beale Street Music Festival 2015,Tom Lee Park,"Memphis, TN"
326,Ed Sheeran,5/1/2015,Beale Street Music Festival 2015,Tom Lee Park,"Memphis, TN"
327,Ed Sheeran,5/1/2015,Beale Street Music Festival 2015,Tom Lee Park,"Memphis, TN"
2095,Ed Sheeran,6/10/2017,Divide,Palacio de los Deportes,Mexico City
2097,Ed Sheeran,6/10/2017,Ed Sheeran / Antonio Lulic,Sports Palace / Palacio de los Deportes,"Mexico City,"
85,Ed Sheeran,9/9/2015,Ed Sheeran,American Airlines Arena,"Miami, FL"
86,Ed Sheeran,9/9/2015,x Tour,AmericanAirlines Arena,"Miami, FL"
88,Ed Sheeran,9/9/2015,Ed Sheeran / Christina Perri / Jamie Lawson,AmericanAirlines Arena,"Miami, FL"
89,Ed Sheeran,9/9/2015,X Tour,American Airlines Arena,"Miami, FL"
90,Ed Sheeran,9/9/2015,Ed Sheeran / Christina Perri / Jamie Lawson,AmericanAirlines Arena,"Miami, FL"
942,Ed Sheeran,4/10/2013,Taylor Swift / Ed Sheeran,AmericanAirlines Arena,"Miami, FL"
943,Ed Sheeran,4/10/2013,Taylor Swift / Ed Sheeran,AmericanAirlines Arena,"Miami, FL"
944,Ed Sheeran,4/10/2013,Taylor Swift / Ed Sheeran,AmericanAirlines Arena,"Miami, FL"
1781,Ed Sheeran,8/30/2017,Ed Sheeran / James Blunt,AmericanAirlines Arena,"Miami, FL"
2144,Ed Sheeran,10/25/2015,MTV EMA 2015,Mediolanum Forum,"Milan, IT"
110,Ed Sheeran,7/3/2015,Ed Sheeran / Rixton,Marcus Amphitheater,"Milwaukee, WI"
159,Ed Sheeran,10/24/2018,Ed Sheeran,Miller Park,"Milwaukee, WI"
160,Ed Sheeran,10/24/2018,Ed Sheeran,Miller Park,"Milwaukee, WI"
